horse,horseLabel,mother,motherLabel,father,fatherLabel
http://www.wikidata.org/entity/Q100144332,Q100144332,,,,
http://www.wikidata.org/entity/Q1001792,Makybe Diva,http://www.wikidata.org/entity/Q14949904,Tugela,http://www.wikidata.org/entity/Q5263956,Desert King
http://www.wikidata.org/entity/Q100267969,Galactica,,,,
http://www.wikidata.org/entity/Q100272248,Ladyofthelake,,,,
http://www.wikidata.org/entity/Q100274623,Hegnus,http://www.wikidata.org/entity/Q100323838,Hespa,http://www.wikidata.org/entity/Q100292979,Magnus
http://www.wikidata.org/entity/Q100291898,Maracana,,,http://www.wikidata.org/entity/Q39070420,Conor Pass
http://www.wikidata.org/entity/Q100292979,Magnus,http://www.wikidata.org/entity/Q100291898,Maracana,http://www.wikidata.org/entity/Q100293720,Jape
http://www.wikidata.org/entity/Q100293720,Jape,,,http://www.wikidata.org/entity/Q636053,Alleged
http://www.wikidata.org/entity/Q100297589,Big Burn,http://www.wikidata.org/entity/Q4951054,Bowl of Flowers,http://www.wikidata.org/entity/Q7003920,Never Bend
http://www.wikidata.org/entity/Q100323726,Big Walt,,,http://www.wikidata.org/entity/Q100297589,Big Burn
http://www.wikidata.org/entity/Q100323838,Hespa,,,http://www.wikidata.org/entity/Q100323726,Big Walt
http://www.wikidata.org/entity/Q100354758,Grande,,,http://www.wikidata.org/entity/Q1546567,Ticino
http://www.wikidata.org/entity/Q100355207,Birkhahn,,,http://www.wikidata.org/entity/Q2640289,Alchimist
http://www.wikidata.org/entity/Q100355482,Zigeunerkind,,,http://www.wikidata.org/entity/Q100355207,Birkhahn
http://www.wikidata.org/entity/Q100356190,Le Loup Garou,,,http://www.wikidata.org/entity/Q17361607,Prince Bio
http://www.wikidata.org/entity/Q100357151,Želatina,,,http://www.wikidata.org/entity/Q100356190,Le Loup Garou
http://www.wikidata.org/entity/Q100388939,Written Tycoon,,,,
http://www.wikidata.org/entity/Q100450920,Luminous Warrior,,,,
http://www.wikidata.org/entity/Q100450924,Kurino Gaudi,,,,
http://www.wikidata.org/entity/Q100450928,Centelleo,,,,
http://www.wikidata.org/entity/Q100450932,Eterna Minoru,,,,
http://www.wikidata.org/entity/Q100450939,Centurion,,,,
http://www.wikidata.org/entity/Q100450961,Kluger,,,,
http://www.wikidata.org/entity/Q100450968,Tagano Espresso,,,http://www.wikidata.org/entity/Q11334537,Black Tide
http://www.wikidata.org/entity/Q100450971,Black Moon,,,,
http://www.wikidata.org/entity/Q100450973,Stella Velocie,,,http://www.wikidata.org/entity/Q2879150,Bago
http://www.wikidata.org/entity/Q100450976,Bell Lap,,,,
http://www.wikidata.org/entity/Q100497569,Trébol,,,,
http://www.wikidata.org/entity/Q100497633,Q100497633,,,,
http://www.wikidata.org/entity/Q1005232,Rock of Gibraltar,,,http://www.wikidata.org/entity/Q1005468,Danehill
http://www.wikidata.org/entity/Q1005468,Danehill,http://www.wikidata.org/entity/Q61987321,Razyana,http://www.wikidata.org/entity/Q1104509,Danzig
http://www.wikidata.org/entity/Q100791596,Probabeel,,,,
http://www.wikidata.org/entity/Q101003005,Chapter Seven,,,,
http://www.wikidata.org/entity/Q101019926,Q101019926,,,,
http://www.wikidata.org/entity/Q101070082,Q101070082,,,,
http://www.wikidata.org/entity/Q101192002,Oe Raijin,,,,
http://www.wikidata.org/entity/Q101192043,Musee Sultan,,,,
http://www.wikidata.org/entity/Q101192189,Omega Heart Rock,,,,
http://www.wikidata.org/entity/Q101192470,Daring Bird,http://www.wikidata.org/entity/Q11319948,Daring Heart,http://www.wikidata.org/entity/Q11297858,King Kamehameha
http://www.wikidata.org/entity/Q101192578,Aristoteles,,,,
http://www.wikidata.org/entity/Q101192716,King of Koji,,,http://www.wikidata.org/entity/Q11350999,Lord Kanaloa
http://www.wikidata.org/entity/Q101193776,Q101193776,,,,
http://www.wikidata.org/entity/Q101193871,Fashionista,,,,
http://www.wikidata.org/entity/Q101193896,Sabuno Junior,,,,
http://www.wikidata.org/entity/Q101193911,Q101193911,,,,
http://www.wikidata.org/entity/Q101193913,Q101193913,,,,
http://www.wikidata.org/entity/Q101193915,Q101193915,,,,
http://www.wikidata.org/entity/Q101193916,Q101193916,,,,
http://www.wikidata.org/entity/Q101193918,Q101193918,,,,
http://www.wikidata.org/entity/Q101193920,Q101193920,,,,
http://www.wikidata.org/entity/Q101246741,Alcohol Free,,,,
http://www.wikidata.org/entity/Q101246743,Essential Quality,,,,
http://www.wikidata.org/entity/Q1012807,Lammtarra,http://www.wikidata.org/entity/Q7548189,Snow Bride,http://www.wikidata.org/entity/Q26798,Nijinsky
http://www.wikidata.org/entity/Q101599315,Gamine,,,,
http://www.wikidata.org/entity/Q1016696,Burmese,,,,
http://www.wikidata.org/entity/Q101781241,Mondreise,,,,
http://www.wikidata.org/entity/Q1018502,Byerley Turk,,,,
http://www.wikidata.org/entity/Q102126100,Huron,,,,
http://www.wikidata.org/entity/Q102127262,Phil Dwyer,,,,
http://www.wikidata.org/entity/Q102170280,Sakura Plaisir,,,,
http://www.wikidata.org/entity/Q102170294,Red Belle Aube,,,,
http://www.wikidata.org/entity/Q102170311,Nadal,,,,
http://www.wikidata.org/entity/Q102170334,Way To Paris,,,,
http://www.wikidata.org/entity/Q102187523,Balgowan,,,,
http://www.wikidata.org/entity/Q102187524,High Tariff,,,,
http://www.wikidata.org/entity/Q102187526,Hart Wallace,,,,
http://www.wikidata.org/entity/Q102235764,Volcano,,,,
http://www.wikidata.org/entity/Q102235766,Verdigris,,,,
http://www.wikidata.org/entity/Q102235768,Bob Woolley,,,,
http://www.wikidata.org/entity/Q102235770,Grenoble,,,,
http://www.wikidata.org/entity/Q102235772,Bill Bruce,,,,
http://www.wikidata.org/entity/Q102235774,Chesapeake,,,,
http://www.wikidata.org/entity/Q102235777,Searcher,,,,
http://www.wikidata.org/entity/Q102235779,Ascension,,,,
http://www.wikidata.org/entity/Q102235782,Enlister,,,,
http://www.wikidata.org/entity/Q102235787,McCreery,,,,
http://www.wikidata.org/entity/Q102235789,Warsaw,,,,
http://www.wikidata.org/entity/Q102235792,Vagabond,,,,
http://www.wikidata.org/entity/Q102235794,Gold Mine,,,,
http://www.wikidata.org/entity/Q102235798,Creedmore,,,,
http://www.wikidata.org/entity/Q102235801,Harry Hill,,,,
http://www.wikidata.org/entity/Q102235803,Germantown,,,,
http://www.wikidata.org/entity/Q102235805,Lizzie Stone,,,,
http://www.wikidata.org/entity/Q102235808,Marie Michon,,,,
http://www.wikidata.org/entity/Q102235811,Bombay,,,,
http://www.wikidata.org/entity/Q102235812,Red Coat,,,,
http://www.wikidata.org/entity/Q102235815,Leamingtonian,,,,
http://www.wikidata.org/entity/Q102235817,Bullion,,,,
http://www.wikidata.org/entity/Q102235819,Leonard,,,,
http://www.wikidata.org/entity/Q102235821,King William,,,,
http://www.wikidata.org/entity/Q102235823,Vera Cruz,,,,
http://www.wikidata.org/entity/Q102235824,McWhirter,,,,
http://www.wikidata.org/entity/Q102235871,Odd Fellow,,,,
http://www.wikidata.org/entity/Q102235873,Malvern,,,,
http://www.wikidata.org/entity/Q102235877,Early Light,,,,
http://www.wikidata.org/entity/Q102235879,Dan K.,,,,
http://www.wikidata.org/entity/Q102235881,Lisbon,,,,
http://www.wikidata.org/entity/Q102235884,Headlight,,,,
http://www.wikidata.org/entity/Q102235889,Leveler,,,,
http://www.wikidata.org/entity/Q102235891,Solicitor,,,,
http://www.wikidata.org/entity/Q102235893,McHenry,,,,
http://www.wikidata.org/entity/Q102235895,Respond,,,,
http://www.wikidata.org/entity/Q102235898,Burgundy,,,,
http://www.wikidata.org/entity/Q102235900,Earl of Beaconsfield,,,,
http://www.wikidata.org/entity/Q102235903,Charley Bush,,,,
http://www.wikidata.org/entity/Q102235905,Strathmore,,,,
http://www.wikidata.org/entity/Q102235907,Trinidad,,,,
http://www.wikidata.org/entity/Q102235910,One Dime,,,,
http://www.wikidata.org/entity/Q102235912,General Pike,,,,
http://www.wikidata.org/entity/Q102235916,Ada Glenn,,,,
http://www.wikidata.org/entity/Q102235918,Buckner,,,,
http://www.wikidata.org/entity/Q102235920,Wissahickon,,,,
http://www.wikidata.org/entity/Q102235924,Kimball,,,,
http://www.wikidata.org/entity/Q102235926,Bancroft,,,,
http://www.wikidata.org/entity/Q102235927,Boulevard,,,,
http://www.wikidata.org/entity/Q102235929,Quito,,,,
http://www.wikidata.org/entity/Q102235964,Lelex,,,,
http://www.wikidata.org/entity/Q102235966,Alfambra,,,,
http://www.wikidata.org/entity/Q102235968,Sligo,,,,
http://www.wikidata.org/entity/Q102235971,Getaway,,,,
http://www.wikidata.org/entity/Q102235973,Calycanthus,,,,
http://www.wikidata.org/entity/Q102235976,Apollo,,,,
http://www.wikidata.org/entity/Q102235978,Runnymede,,,http://www.wikidata.org/entity/Q104236987,Billet
http://www.wikidata.org/entity/Q102235979,Bengal,,,,
http://www.wikidata.org/entity/Q102235981,Harry Gilmore,,,,
http://www.wikidata.org/entity/Q102235984,Babcock,,,,
http://www.wikidata.org/entity/Q102235987,Monogram,,,,
http://www.wikidata.org/entity/Q102235991,Highflyer,,,,
http://www.wikidata.org/entity/Q102235994,Wendover,,,,
http://www.wikidata.org/entity/Q102235996,Pat Malloy colt,,,http://www.wikidata.org/entity/Q113996948,Pat Malloy
http://www.wikidata.org/entity/Q102235998,Wallensee,,,,
http://www.wikidata.org/entity/Q102236001,Newsboy,,,,
http://www.wikidata.org/entity/Q102236003,Mistral,,,,
http://www.wikidata.org/entity/Q102236005,Lost Cause,,,,
http://www.wikidata.org/entity/Q102236008,Robert Bruce,,,,
http://www.wikidata.org/entity/Q102236013,Drake Carter,,,,
http://www.wikidata.org/entity/Q102236015,Lord Raglan,,,,
http://www.wikidata.org/entity/Q102236018,Ascender,,,,
http://www.wikidata.org/entity/Q102236020,Standiford Kellar,,,,
http://www.wikidata.org/entity/Q102236021,Pike's Pride,,,,
http://www.wikidata.org/entity/Q102236024,Chatter,,,,
http://www.wikidata.org/entity/Q102236027,Loftin,,,,
http://www.wikidata.org/entity/Q102236068,Audrain,,,,
http://www.wikidata.org/entity/Q102236070,Bob Miles,,,,
http://www.wikidata.org/entity/Q102236072,Bob Cook,,,,
http://www.wikidata.org/entity/Q102236074,Boreas,,,,
http://www.wikidata.org/entity/Q102236076,Admiral,,,,
http://www.wikidata.org/entity/Q102236078,Exploit,,,,
http://www.wikidata.org/entity/Q102236081,Powhattan III,,,,
http://www.wikidata.org/entity/Q102236086,Ten Booker,,,,
http://www.wikidata.org/entity/Q102236089,Favor,,,,
http://www.wikidata.org/entity/Q102236091,Irish Pat,,,,
http://www.wikidata.org/entity/Q102236093,Keokuk,,,,
http://www.wikidata.org/entity/Q102236095,Clay Pate,,,,
http://www.wikidata.org/entity/Q102236098,Thistle,,,,
http://www.wikidata.org/entity/Q102236099,Playfair,,,,
http://www.wikidata.org/entity/Q102236101,Lord Coleridge,,,,
http://www.wikidata.org/entity/Q102236105,Blue Wing,,,,
http://www.wikidata.org/entity/Q102236107,Free Knight,,,,
http://www.wikidata.org/entity/Q102236110,Lijero,,,,
http://www.wikidata.org/entity/Q102236111,Jim Gray,,,,
http://www.wikidata.org/entity/Q102236113,Grimaldi,,,,
http://www.wikidata.org/entity/Q102236116,Sir Joseph,,,,
http://www.wikidata.org/entity/Q102236118,Harrodsburg,,,,
http://www.wikidata.org/entity/Q102236121,Lafitte,,,,
http://www.wikidata.org/entity/Q102236123,Masterpiece,,,,
http://www.wikidata.org/entity/Q102236127,Jim Gore,,,http://www.wikidata.org/entity/Q5766174,Hindoo
http://www.wikidata.org/entity/Q102236173,Jacobin,,,,
http://www.wikidata.org/entity/Q102236176,Banburg,,,,
http://www.wikidata.org/entity/Q102236177,Clarion,,,,
http://www.wikidata.org/entity/Q102236180,Ban Yan,,,,
http://www.wikidata.org/entity/Q102236183,Pendennis,,,,
http://www.wikidata.org/entity/Q102236186,Gallifet,,,,
http://www.wikidata.org/entity/Q102236188,White,,,,
